OBJECTID_1,OBJECTID,ZCTA5CE10,GEOID10,MTFCC10,FUNCSTAT10,PARTFLG10,INTPTLON10,INTPTLAT10,Version,POP2000,POP2001,POP2002,POP2003,POP2004,POP2005,POP2006,POP2007,POP2008,POP2009,POP2010,POP2011,POP2012,POP2013,POP2014,POP2015,POP2016,POP2017,POP2018,POP2019,HHP2000,HHP2001,HHP2002,HHP2003,HHP2004,HHP2005,HHP2006,HHP2007,HHP2008,HHP2009,HHP2010,HHP2011,HHP2012,HHP2013,HHP2014,HHP2015,HHP2016,HHP2017,HHP2018,HHP2019,GQ2000,GQ2001,GQ2002,GQ2003,GQ2004,GQ2005,GQ2006,GQ2007,GQ2008,GQ2009,GQ2010,GQ2011,GQ2012,GQ2013,GQ2014,GQ2015,GQ2016,GQ2017,GQ2018,GQ2019,HU2000,HU2001,HU2002,HU2003,HU2004,HU2005,HU2006,HU2007,HU2008,HU2009,HU2010,HU2011,HU2012,HU2013,HU2014,HU2015,HU2016,HU2017,HU2018,HU2019,OHU2000,OHU2001,OHU2002,OHU2003,OHU2004,OHU2005,OHU2006,OHU2007,OHU2008,OHU2009,OHU2010,OHU2011,OHU2012,OHU2013,OHU2014,OHU2015,OHU2016,OHU2017,OHU2018,OHU2019,Shape__Are,Shape__Len,sum_totaleap,sum_numberinhousehold,mean_numberinhousehold,mean_monthlyincome,mean_heatburden,sum_childrencnt,sum_seniorcnt,sum_disabledcnt,sum_vulnerablecnt,mean_sheltercost,mean_heatcost,mean_annualelectriccost,mean_energyusage,sum_miltaryvet,sum_racenative,sum_raceasian,sum_raceblack,sum_racepacislander,sum_racewhite,sum_racemultirace,sum_raceunspecified,sum_raceother,sum_ethnicityunspecified,sum_ethnicitylatino,sum_ethnicitynotlatino,sum_edunder12,sum_edhighschool,sum_edsomeps,sum_edunspecified,sum_electric,sum_naturalgas,sum_oil,sum_coal,sum_propane,sum_wood,sum_housetype1to3family,sum_housetype4plusfamily,sum_housetypehighrise,sum_housetypemobile,sum_housetyperv,sum_ownedorbuying,sum_subsidized,sum_rental,sum_roomerboard,sum_temporaryhousing,Point_Count,Shape__Area,Shape__Length
1,1,98001,5398001,G6350,S,N,-122.2644688,47.3094956,"September 10, 2019",26119.972,26684.217,27303.193,27745.212,28217.911,28712.617,29461.151,30143.274,30731.948,31288.902,31911,32003.454,32232.317,32645.465,33322.573,33576.434,34107.383,34739.821,35399.577,35947.587,26063.93,26612.255,27214.602,27640.777,28097.752,28575.702,29307.968,29973.691,30546.313,31086.811,31694,31786.454,32015.317,32428.465,33105.573,33359.434,33890.383,34522.821,35182.577,35730.587,56.042,71.962,88.591,104.435,120.159,136.915,153.183,169.583,185.635,202.091,217,217,217,217,217,217,217,217,217,217,9454.377,9642.248,9831.446,10006.21,10187.474,10350.234,10514.659,10687.515,10853.603,11035.466,11249,11267.851,11288.661,11354.052,11477.673,11550.936,11617.362,11815.888,12054.499,12302.358,9194.72,9340.816,9505.32,9609.254,9716.59,9828.664,10037.837,10228.488,10395.579,10542.788,10717,10723.58,10735.371,10801.487,10920.208,10992.581,11076.946,11246.681,11479.635,11693.893,106462196.148438,60719.47966824,643993,4060,3.01186943620178,1390.41172106825,4.18014836795254,287,517,565,1006,625.286735905045,655.120919881306,1000.48585311573,1163.66726261128,1,147,260,1072,56,1966,559,0,0,0,355,3705,413,1042,491,2114,837,491,17,0,3,0,657,274,377,40,0,266,815,267,0,0,1348,0.005825094330703,0.432608140405418
2,2,98002,5398002,G6350,S,N,-122.2168124,47.3082862,"September 10, 2019",30243.492,30366.9,30552.156,30541.121,30568.173,30622.163,30945.394,31194.423,31345.018,31463.41,31647,31874.065,31989.726,32337.26,32637.807,32827.303,33461.492,34308.728,34795.087,35105.655,29719.109,29856.346,30050.553,30053.296,30094.225,30157.386,30493.174,30754.222,30917.686,31047.678,31247,31463.065,31581.726,31929.26,32220.807,32426.303,33053.492,33900.728,34405.087,34715.655,524.383,510.554,501.603,487.825,473.948,464.777,452.22,440.201,427.332,415.732,400,411,408,408,417,401,408,408,390,390,12755.398,12839.019,12924.088,12990.115,13064.649,13115.734,13169.379,13233.917,13290.335,13366.219,13480,13567.313,13598.686,13676.286,13731.688,13779.988,13791.463,14056.305,14210.42,14438.061,12239.713,12257.197,12298.7,12262.477,12232.245,12209.325,12306.742,12379.893,12424.396,12443.967,12495,12568.892,12583.353,12708.919,12793.503,12868.713,13047.627,13233.96,13407.433,13530.97,41019641.2109375,45760.85344495,1390246,8439,2.65627950897073,1288.76078061064,3.6378785017312,825,787,1363,2351,681.880182562166,560.182247403211,822.277012905256,1050.0156814605,27,367,161,2091,598,3949,1273,0,0,0,843,7596,828,2368,1096,4147,2571,599,0,0,3,4,745,1514,631,284,3,403,1587,1187,0,0,3177,0.00224446242509657,0.330128740386395
3,3,98003,5398003,G6350,S,N,-122.3157728,47.3077133,"September 10, 2019",41999.105,42190.747,42468.348,42473.056,42530.519,42625.337,43095.002,43461.506,43690.958,43875.495,44151,44238.495,44280.672,44383.779,44652.48,44994.294,47127.228,48911.888,49466.731,49586.838,41563.79,41736.188,41990.032,41975.474,42013.978,42084.531,42533.708,42879.007,43088.377,43250.979,43511,43581.495,43656.672,43785.779,44014.48,44359.294,46496.228,48310.888,48887.731,49028.838,435.315,454.559,478.316,497.582,516.541,540.806,561.294,582.499,602.581,624.516,640,657,624,598,638,635,631,601,579,558,17457.62,17570.733,17685.807,17774.849,17875.541,17944.117,18016.22,18103.214,18179.13,18281.649,18436,18458.533,18462.066,18468.758,18482.444,18577.821,19246.06,19727.878,19805.277,19897.855,16807.184,16840.412,16906.631,16866,16833.488,16811.002,16954.205,17064.06,17135.025,17170.825,17250,17261.184,17262.236,17284.786,17324.391,17443.746,18296.461,18727.613,18842.346,18903.185,66030680.0859375,55201.48045082,2533612,15201,2.71883384010016,1261.57789304239,3.52426220711859,1552,1612,2582,4407,618.857089966017,564.706492577356,946.611438025402,1161.09626363799,74,516,497,5924,400,5924,1940,0,0,0,1182,14019,1491,4035,1844,7831,5225,362,2,0,0,2,630,1993,2686,282,0,512,3215,1864,0,0,5591,0.00361320607680682,0.389412757372439
4,4,98004,5398004,G6350,S,N,-122.205341,47.6183371,"September 10, 2019",22265.887,22821.192,23423.386,23873.485,24349.415,24843.875,25558.211,26215.51,26791.815,27340.422,27946,29014.216,29834.121,30355.893,31042.058,31765.985,33067.366,33810.682,34125.456,34754.71,21897.613,22471.915,23089.781,23558.82,24053.709,24564.256,25296.746,25971.901,26566.534,27132.85,27758,28843.216,29650.121,30173.893,30864.058,31601.985,32917.366,33673.682,33987.456,34599.71,368.274,349.277,333.605,314.665,295.706,279.619,261.465,243.609,225.281,207.572,188,171,184,182,178,164,150,137,138,155,11474.183,11994.116,12516.212,13020.039,13532.198,14019.366,14507.951,15007.62,15497.303,16009.267,16568,17059.772,17145.07,17142.442,17160.483,17546.522,17886.387,18338.369,18510.026,18636.233,10316.493,10609.886,10924.254,11168.545,11415.644,11667.263,12034.389,12380.454,12700.239,12993.579,13320,13998.884,14477.747,14796.764,15042.426,15369.944,15863.037,16078.723,16167.319,16251.515,49224146.875,40725.81249171,431997,2293,1.96824034334764,890.644635193133,10.2132618025751,144,646,528,955,622.52017167382,452.607725321888,0,670.44650643777,41,12,331,407,5,1299,130,0,109,0,332,1961,155,330,769,1039,1083,79,3,0,0,0,145,199,821,0,0,75,586,504,0,0,1165,0.00267752931904397,0.286313737213294
5,5,98005,5398005,G6350,S,N,-122.1687977,47.6145328,"September 10, 2019",16718.517,16808.692,16933.108,16948.673,16985.18,17036.512,17237.713,17397.763,17503.01,17590.276,17714,17681.867,17740.53,18119.878,18483.285,18389.97,19026.07,19057.017,19391.615,20154.358,16515.203,16609.758,16736.627,16756.541,16797.449,16851.296,17056.384,17220.096,17329.346,17420.094,17549,17521.867,17580.53,17950.878,18307.285,18207.97,18841.07,18872.017,19203.615,19982.358,203.314,198.934,196.481,192.132,187.731,185.216,181.329,177.667,173.664,170.182,165,160,160,169,176,182,185,185,188,172,7783.698,7819.125,7855.388,7880.091,7909.964,7925.644,7942.927,7966.82,7985.835,8016.578,8070,8069.467,8070.08,8179.833,8196.545,8180.87,8370.7,8367.161,8496.003,8795.16,7403.105,7411.827,7435.078,7411.345,7391.237,7375.588,7432.628,7474.974,7499.788,7509.87,7539,7545.571,7597.664,7774.328,7876.913,7814.829,8075.641,8009.405,8136.624,8417.042,42770848.3984375,43169.15436965,270894,1257,2.04058441558442,1067.57792207792,7.72675324675324,88,261,303,466,828.515454545454,559.75487012987,0,998.530470779222,29,6,271,154,2,618,64,0,142,0,187,1070,86,157,488,526,502,114,0,0,0,0,140,323,153,0,0,103,272,237,4,0,616,0.00232668460375862,0.30797997127067
6,6,98006,5398006,G6350,S,N,-122.1510048,47.5576267,"September 10, 2019",35155.659,35256.822,35429.73,35375.199,35365.132,35386.475,35718.836,35965.151,36097.828,36193.416,36364,36437.191,36689.266,37068.689,37602.26,37503.463,38132.962,38190.043,38559.497,38903.508,35137.646,35220.298,35374.257,35301.237,35272.813,35274.791,35588.473,35815.926,35930.032,36006.514,36160,36233.191,36485.266,36864.689,37398.26,37299.463,37928.962,37986.043,38355.497,38699.508,18.013,36.524,55.473,73.962,92.319,111.684,130.363,149.225,167.796,186.902,204,204,204,204,204,204,204,204,204,204,13325.171,13393.399,13463.076,13512.934,13571.658,13606.014,13643.115,13691.539,13731.591,13791.778,13891,13930.744,13996.531,14021.93,14055.603,14054.203,14221.572,14234.991,14308.199,14301.704,12979.258,13001.611,13049.405,13014.759,12986.391,12965.814,13073.003,13154.455,13204.237,13229.273,13288,13332.587,13456.418,13593.085,13723.016,13658.184,13879.172,13787.153,13865.382,13852.412,65014853.1875,49470.73615148,546234,3086,2.63760683760684,1112.75213675214,7.83668376068376,268,377,458,835,737.052547008547,596.919658119658,0,1019.13608547008,31,36,725,727,78,1073,230,0,217,0,533,2553,203,392,830,1661,767,397,6,0,0,0,378,312,480,0,0,239,587,344,0,0,1170,0.00354060749032215,0.376549131064987
7,7,98007,5398007,G6350,S,N,-122.1443652,47.6138254,"September 10, 2019",23260.746,23410.522,23608.014,23653.642,23728.319,23823.538,24128.397,24375.895,24546.684,24692.24,24889,24860.494,24967.895,25264.795,25687.023,25679.539,27133.56,27538.454,28090.544,28611.808,23228.885,23368.852,23556.098,23591.946,23656.916,23741.729,24036.605,24274.017,24434.921,24570.288,24758,24729.494,24836.895,25133.795,25556.023,25548.539,27002.56,27407.454,27959.544,28225.808,31.861,41.67,51.916,61.696,71.403,81.809,91.792,101.878,111.763,121.952,131,131,131,131,131,131,131,131,131,386,10849.369,10873.469,10898.696,10907.875,10924.215,10921.02,10920.074,10928.271,10929.852,10947.471,10996,11006.137,11012.848,11012.942,11012.818,11024.796,11633.554,11852.52,12045.307,12081.316,10321.448,10314.02,10326.802,10274.419,10227.22,10186.37,10245.848,10284.932,10301.041,10295.101,10315,10330.083,10409.186,10531.33,10648.373,10624.372,11312.733,11395.168,11592.304,11573.948,24997891.4921875,39771.37958929,1380628,8261,2.33890147225368,1048.90713476784,7.95831257078143,595,1610,1595,2732,537.229088335221,440.862117780294,0,942.122049830124,142,59,1115,1876,108,4026,347,0,730,0,1682,6579,912,1273,2056,4020,3267,252,13,0,0,0,436,2077,1019,0,0,184,2512,836,0,0,3532,0.00135986454233716,0.273504930564474
8,8,98008,5398008,G6350,S,N,-122.0991177,47.6057966,"September 10, 2019",23945.374,23978.546,24060.511,23988.124,23946.178,23925.749,24115.488,24246.806,24301.37,24330.996,24411,24386.882,24448.709,24680.089,24963.078,24967.65,25324.551,25346.59,25492.286,26112.848,23756.233,23762.295,23814.914,23715.427,23646.643,23596.232,23758.195,23861.26,23888.315,23889.149,23945,23920.882,23982.709,24218.089,24503.078,24505.65,24866.551,24893.59,25068.286,25672.848,189.141,216.251,245.597,272.697,299.535,329.517,357.293,385.546,413.055,441.847,466,466,466,462,460,462,458,453,424,440,9522.133,9533.376,9545.628,9543.787,9548.227,9535.602,9524.983,9522.337,9513.962,9519.565,9552,9557.771,9558.847,9565.735,9569.752,9575.369,9622.127,9620.963,9648.115,9853.271,9246.751,9233.312,9237.944,9184.308,9135.394,9092.18,9138.53,9166.604,9172.512,9161.087,9173,9186.193,9236.889,9325.908,9382.863,9365.281,9468.42,9397.437,9423.491,9613.02,47531081.7109375,36841.48749026,599620,3068,2.01048492791612,1001.34600262123,6.58907601572739,124,969,578,1298,572.584423328965,442.080602883355,0,871.301756225427,58,10,734,334,49,1679,94,0,168,0,550,2518,368,507,1010,1183,1165,357,4,0,0,0,534,639,351,2,0,235,888,403,0,0,1526,0.0025861068525046,0.259924577789985
9,9,98010,5398010,G6350,S,N,-122.0004175,47.312036,"September 10, 2019",4644.444,4679.892,4724.881,4739.456,4759.806,4784.248,4850.803,4905.873,4945.532,4980.095,5025,5058.131,5081.185,5094.84,5133.487,5160.83,5283.83,5320.464,5367.153,5549.484,4644.444,4679.892,4724.881,4739.456,4759.806,4784.248,4850.803,4905.873,4945.532,4980.095,5025,5058.131,5081.185,5094.84,5133.487,5160.83,5283.83,5320.464,5367.153,5549.484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1787.285,1811.824,1836.602,1858.681,1881.976,1901.857,1922.089,1943.874,1964.453,1987.885,2017,2028.915,2031.726,2034.108,2039.083,2048.495,2066.767,2081.759,2098.831,2178.676,1686.975,1701.764,1719.893,1727.104,1735.039,1743.92,1770.002,1792.715,1811.265,1826.304,1846,1855.19,1854.884,1855.375,1859.405,1869.362,1904.76,1917.852,1935.128,2002.547,90499098.7734375,59988.95264051,60088,238,1.9349593495935,1067.20325203252,7.54634146341463,9,68,62,98,634.254471544716,666.154471544715,1168.83170731707,1210.73154471545,0,1,16,8,0,189,24,0,0,0,20,218,20,99,57,62,86,28,0,0,9,0,58,3,4,58,0,79,7,37,0,0,123,0.00495137955613245,0.456358012468785
10,10,98011,5398011,G6350,S,N,-122.2019679,47.7533351,"September 10, 2019",26523.842,26777.724,27086.273,27220.304,27387.037,27576.998,28009.849,28376.882,28654.915,28903.47,29212,29354.378,29599.778,29888.141,30325.942,31146.419,32373.306,32717.924,33340.62,34504.416,26399.75,26643.003,26939.56,27062.963,27219.185,27396.898,27818.728,28174.492,28441.65,28678.666,28978,29130.378,29373.778,29662.141,30099.942,30920.419,31921.306,32259.924,32918.62,34103.416,124.092,134.721,146.713,157.341,167.852,180.1,191.121,202.39,213.265,224.804,234,224,226,226,226,226,452,458,422,401,10835.725,11026.367,11218.466,11394.094,11577.151,11739.195,11903.195,12076.791,12242.796,12426.586,12646,12699.996,12762.599,12833.876,13018.236,13321.256,13670.384,13806.515,14075.045,14575.625,10499.269,10632.868,10787.367,10873.28,10963.339,11059.001,11263.875,11447.675,11604.721,11739.83,11905,11932.556,12023.978,12095.852,12334.892,12678.725,13051.155,13156.773,13419.546,13874.581,46873170.5390625,43786.60841245,627262,3451,2.29150066401062,1042.74701195219,9.21743027888446,298,614,736,1234,651.273247011952,502.08764940239,0,995.178293492696,56,53,202,535,13,2159,304,0,185,0,843,2608,273,466,924,1788,1251,245,6,0,0,4,312,580,441,173,0,237,766,502,1,0,1506,0.00254308109833801,0.335894888553366
